timestamp,applicationname
202210100905,com.sec.android.app.launcher
202210100905,it.unitn.disi.witmee.sensorlog
202210100906,com.google.android.permissioncontroller
202210100906,com.instagram.android
202210100906,com.lynxspa.prontotreno
202210100907,com.lynxspa.prontotreno
202210100908,com.lynxspa.prontotreno
202210100909,com.sec.android.app.music
202210100910,com.lynxspa.prontotreno
202210100910,com.sec.android.app.launcher
202210100910,com.sec.android.app.music
202210100911,com.lynxspa.prontotreno
202210100911,com.sec.android.app.music
202210100912,com.lynxspa.prontotreno
202210100913,com.instagram.android
202210100913,com.lynxspa.prontotreno
202210100913,com.sec.android.app.launcher
202210100914,com.instagram.android
202210100914,com.sec.android.app.launcher
202210100914,com.sec.android.app.music
202210100915,com.sec.android.app.music
202210100916,com.sec.android.app.music
202210100917,com.google.android.permissioncontroller
202210100917,com.sec.android.app.launcher
202210100917,com.sec.android.app.music
202210100917,com.sec.android.app.shealth
202210100917,it.unitn.disi.witmee.sensorlog
202210100918,com.sec.android.app.music
202210100919,com.sec.android.app.music
202210100920,com.sec.android.app.music
202210100921,com.sec.android.app.music
202210100922,com.sec.android.app.launcher
202210100922,com.sec.android.app.music
202210100922,com.whatsapp
202210100923,com.whatsapp
202210100924,com.whatsapp
202210100925,com.sec.android.app.launcher
202210100925,com.sec.android.app.music
202210100925,com.whatsapp
202210100926,com.sec.android.app.music
202210100927,com.sec.android.app.launcher
202210100927,com.sec.android.app.music
202210100927,com.whatsapp
202210100928,com.sec.android.app.music
202210100929,com.sec.android.app.music
202210100930,com.sec.android.app.music
202210100931,com.sec.android.app.launcher
202210100931,com.sec.android.app.music
202210100931,it.unitn.disi.witmee.sensorlog
202210100932,com.sec.android.app.launcher
202210100932,com.sec.android.app.music
202210100932,it.unitn.disi.witmee.sensorlog
202210100933,com.sec.android.app.music
202210100934,com.android.chrome
202210100934,com.sec.android.app.music
202210100935,com.android.chrome
202210100936,com.android.chrome
202210100937,com.android.chrome
202210100938,com.android.chrome
